池田樹雷人	Ikeda Tree Raito
个人电脑	personal computer
彼得 波罗申科	Peter Poroshenko
维托里奥 埃曼努尔 奥兰多	Vittorio Emmanuel Orlando
省道	Provincial road
吳洛纓	Wu Luoying
特内里费岛	Tenerife
淑慎皇贵妃	Royal Concubine Shushen
泰國北部地區	Northern Thailand
伊克巴勒	Iqbal
約翰 厄斯金 第二十二代馬爾伯爵	John Erskine, 22nd Earl of Mar
夢想的翅膀	dream wings
中欧	Central Europe
雅赫摩斯 安可	Ahmos Encore
乌鲁木齐铁路局	Urumqi Railway Bureau
歷史哲學	philosophy of history
因斯布鲁克大学	University of Innsbruck
錫耶納聖徒	siena saints
黄楚平	Huang Chuping
圣巴特里克竞技足球俱乐部	St Patrick's Athletic Football Club
梦幻流行	Dream Pop
吳俊青	Wu Junqing
希金斯选区	Higgins constituency
欧内斯特 劳伦斯	Ernest Lawrence
俄文专修馆	Russian language training center
大力製作事業有限公司	dynamite production co., ltd.
孔亚克语支	Konyak
斯图加特足球俱乐部	Stuttgart Football Club
惠庭市	Hometown
福山雅治	Fukuyama Masaharu
瓦西里 科拉羅夫	Vasily Kolarov
施昆輝	Shi Kunhui
广东昊昕贸易足球俱乐部	Guangdong Haoxin Trading Football Club
約翰 奧哈拉	John O'Hara
察度	Observation
蒲甘王	king of bagan
彼達迪華夏普爾	Piedadi Huashapoor
理查德 塞登	Richard Seddon
su 攻击机	su attack aircraft
認同 傳統 主權	Identity Traditional Sovereignty
西方學院	western college
韓進集團	Hanjin Group
女拳	female fist
none 年秘鲁大选	Peru elections in none
威廉 德奥利维拉	William de Oliveira
哈扎拉吉语	Hazaraji
哈拉尔德 克拉梅尔	Harald Kramer
名東區	Mingdong District
就業事務大臣	employment secretary
威斯利	Wesley
吉格梅 辛格 旺楚克	Jigme Singh Wangchuck
高濱市	Takahama
十二使君之乱	The Chaos of the Twelve Envoys
克里斯托弗 高爾	Christopher Gower
頭號天文台圓環	Number One Observatory Ring
吉雄镇	Jixiong Town
越秀区	Yuexiu District
金弘宇	Kim Hong-woo
古巴	Cuba
小島唱片	Island Records
维多利亚 迪圣安唐	Victoria Di Sant'Anton
电话	Telephone
孛儿只斤氏	Bo Er Zhi Jin
加布里埃拉女爵	Countess Gabriella
市原健一	Kenichi Ichihara
露絲 凱利	Ruth Kelly
麥長青	Mai Changqing
约瑟夫 肖米耶	Joseph Chaumier
狂飆突進運動	Hurricane Dash
貴州人和足球俱樂部	Guizhou Renhe Football Club
黛比 羅薇	Debbie Rowe
恩尼奥 泽利奥利 兰兹尼	Ennio Zellioli Lanzny
奥拉夫五世	Olaf V
哈萨克斯坦议会下院	Lower House of Parliament of Kazakhstan
梅莉塔提	Melitati
美禰市	Mine City
平台遊戲	platform game
燕妮 馬克思	Jenny Marx
陳兆祥	Chen Zhaoxiang
唐朝君主列表	List of Tang Dynasty monarchs
环球唱片公司	Universal Records
泉漳片	Quan Zhang slices
瓦拉納西機場	Varanasi Airport
德祺	Deqi
三姊妹 韓國電視劇	Three Sisters Korean TV Dramas
琅琊榆	langya elm
阿非利加 羅馬行省	africa roman province
紐奴	Newnu
库纳 德马顿干迪特区	Kuna Dematon Gandi District
持久自由行动	Operation Enduring Freedom
竹中工務店	Takenaka Public Works Store
格拉斯哥瑪麗丘和斯普林伯恩 蘇格蘭議會選區	Glasgow Mary Hill and Springbourne Scottish Parliament constituency
維塞拉	Vesera
恰伊卡拉	chaikala
哈里王子	Prince Harry
伊蘇斯 城鎮	issus town
法律	law
菲尔 杰克逊	Phil Jackson
漫威动画	Marvel Animation
巴勒迪克	Balladic
小林龍樹	Kobayashi Naruto
艾哈迈德 侯赛因 胡达伊尔	Ahmed Hussein Hudayr
斯特拉斯堡競賽會	Strasbourg competition
小城故事	Small Town Story
城市軌道交通	Urban Rail Transit
納文	Naveen
欧洲联盟	European Union
大连晟威	Dalian Shengwei
寶瓶座	Aquarius
福长安	Fu Changan
格奧爾格 施圖姆	Georg Stumm
岡田麿里	Okada Hari
阿方索 卡洛斯 聖海梅公爵	Alfonso Carlos, Duke of San Jaime
庫洛布拉夫斯漢足球會	Cullo Bluffshan Football Club
狄奥多西一世	Theodosius I
弗朗索瓦 奥古斯特 洛热罗	François Auguste Logereau
上海上港集团足球俱乐部	Shanghai SIPG Football Club
以薩克 馬科維克 哈拉尼科夫	Isaac Markovic Haranikov
常宮昌子內親王	Prince Changgong Masako
韋霍特	Wehhot
孝敬憲皇后	Honor Queen Xian
新北区	Xinbei District
华特迪士尼唱片	walt disney records
天主教格羅寧根 呂伐登教區	Catholic Diocese of Groningen Leeuwarden
天空 消歧义	sky disambiguation
內流湖	inner lake
納伊夫 阿卜杜勒 阿齊茲 阿勒沙特	Naif Abdul Aziz Al Saud
凱特 奧斯頓	Kate Allston
哈德姆 錫南帕夏	Hadham Sinan Pasha
巴伐利亚	Bavaria
瀋陽飛機公司	Shenyang Aircraft Company
刀郎	Toro
林子平	Lin Ziping
明尼苏达双城	Minnesota Twins
曼陀林	mandolin
张云川 中共	Zhang Yunchuan CCP
鮑偉聰	Bao Weicong
議會 以色列	parliament israel
赫尔	Hull
特內里費體育會	Tenerife Sports Association
帕羅奧多研究中心	Palo Alto Research Center
曼聯預備隊及青訓學院	Manchester United Reserve and Youth Academy
石岡市	Ishioka City
耶希亞	Yesia
萨姆 文森特	Sam Vincent
本能 單曲	Instinct single
臺南市	Tainan City
愛媛足球會	Ehime Football Club
东风 g型柴油机车	Dongfeng g-type diesel locomotive
阿倫 奇勒	Alan Keeler
广岛广域公园陆上竞技场	Hiroshima Wide Park Land Arena
照明娛樂	lighting entertainment
景泰 年号	Jingtai Year
羅馬禮	Roman ceremony
塔兰潘特拉 巴兹	Taran Pantra Baz
曼托瓦及蒙費拉托爵位繼承戰爭	War of the Succession of Mantua and Monferrato
康斯坦丁 羅科索夫斯基	Konstantin Rokossovsky
伊亞高普 拿洛卡	Oia Gaupp Naroka
幸运 星角色列表	Lucky Star Character List
漢特 曼西自治區區旗	Khanty Mansi Autonomous Region flag
默里 盖尔曼	Murray Gellman
私人公司	private company
栗鹏	Li Peng
维多利亚体育俱乐部	Victoria Sports Club
天河體育場	Tianhe Stadium
托馬什 約托維奇	Tomas Jotovic
俄白联盟	Russian-Belarus Union
kylähullut	kylähullut
桃園捷運公司	Taoyuan MRT Corporation
绿党 欧洲自由联盟	Green Party European Union for Freedom
徐輝祖	Xu Huizu
詹姆斯 罗伯特 琼斯	James Robert Jones
徐德明	Xu Deming
伊斯特拉縣	Istria County
诺尔省	Knoll
查尔斯 利伯	Charles Lieber
日照市	Rizhao
時尚設計	fashion design
提格雷語	Tigre
歐洲迪士尼sca	euro disney sca
蜂須賀孝治	Hachisuka Koji
聖德尼	Saint-Denis
大和市	Yamato
科學戰隊炸藥人	science team dynamite man
加爾斯	gals
儒勒 格雷维	Jules Grevey
虎丘区	Huqiu District
肯塔基州国会议员	Member of Congress from Kentucky
萧伯纳	Shaw
馬都拉語群	Madura group
brøderbund	brøderbund
侍戰隊真劍者	True Swordsman of the Servant Team
清朝君主列表	List of monarchs of the Qing Dynasty
霍华德 迪安	Howard Dean
醫師好辣	Doctor is so hot
哈特爾浦	Hartlepool
清太祖皇六女	Six daughters of Emperor Taizu of Qing Dynasty
曼纽尔 瓦尔斯	Manuel Valls
大连市市长列表	List of mayors of Dalian
王傑 歌手	Wang Jie Singer
斯洛文尼科學及藝術研究院	Slovenian Academy of Sciences and Arts
莽古濟	manguji
荷夫曼	Hoffman
欢瑞世纪	Happy Century
锡永足球俱乐部	Sion Football Club
新加坡人力部	Ministry of Manpower, Singapore
马克 库班	Mark Cuban
josé saramago	josé saramago
高橋夏樹	Takahashi Natsuki
田樹樟	Tian Shu Zhang
穆古尔 伊萨雷斯库	Mugul Isarescu
特雷門	Theremin
美國郵政編碼	US ZIP code
艾格達	Aegda
中歐會戰	Sino-European battle
辽宁宏运足球俱乐部	Liaoning Hongyun Football Club
北京奧組委	Beijing Olympic Organizing Committee
芮杏文	Rui Xingwen
蘇聯成立條约	Treaty of the founding of the USSR
創世紀樂團	Genesis Orchestra
王榮 政治人物	Wang Rong Politician
天佑女王	God save the queen
鳳凰城 亞利桑那州	Phoenix Arizona
梅尔罗斯的沃尔特奥夫	walter off of melrose
張景惠	Zhang Jinghui
惠建林	Hui Jianlin
针锋相对 小说	tit for tat fiction
局外人 漫畫	outsider comics
库拉索	Curacao
联立制	Joint system
飛虎ii	flying tiger ii
爱奥尼亚海	Ionian Sea
聖羅莎 南里奧格蘭德州	Santa Rosa, Rio Grande do Sul
和硕和惠公主	Heshuo Hehui Princess
波斯尼亞和黑塞哥維那足球協會	Bosnia and Herzegovina Football Association
joël quiniou	joël quiniou
德之島語	Tokushima
亨利 奥古斯塔斯 罗兰	Henry Augustus Rowland
海军上将	Admiral
臺灣語言音標方案	Taiwanese Phonetic Alphabet Scheme
知识学	Knowledge
塞羅競技俱樂部	Cerro Athletic Club
迭戈 马拉多纳	Diego Maradona
艾迪 費舍	Eddie Fisher
拒绝兵役	refuse military service
南萊特省	Southern Leyte
金日成競技場	Kim Il Sung Arena
第四代萨里女伯爵伊莎贝尔 德瓦伦纳	Isabelle de Varenna, 4th Countess of Surrey
雷定三世	Redding III
菊岡拓朗	Kikuoka Takuro
国家法律联盟	National Law Union
红木城	Redwood City
立陶宛民主劳动党	Lithuanian Democratic Labour Party
印度足球乙級聯賽	Indian Football League
联合国	United Nations
布里亞特語	Buryat
乔治 伯克利 英国军官	george berkeley british officer
吴宰硕	Oh Jae Suk
蔣子軒	Jiang Zixuan
石原良純	Ishihara Ryojun
丹尼尔 克雷格	Daniel Craig
none 號決議	resolution none
金砖国家大学联盟	BRICS University Alliance
哈蘭	Harlan
沃特福德 赫特福德郡	Watford Hertfordshire
伊拉克利 克里米亚什维利	Iraqi Crimeyashvili
none 克洛德 容克	none claude junker
俄罗斯苏维埃联邦社会主义共和国	Russian Soviet Federal Socialist Republic
柏林科学院	Berlin Academy of Sciences
戈采代爾切夫足球俱樂部	Gotzedelchev Football Club
北京舞蹈學院	Beijing Dance Academy
胡窕容	Hu Pirong
孟加拉	Bengal
加纳	Ghana
北卡羅來納州行政區劃	Administrative divisions of North Carolina
蔡衍明	Cai Yanming
特斯拉线圈	Tesla Coil
弗拉基米尔 色米查斯特涅	Vladimir Semychastny
洪銀姬	Hong Eun Hee
丹大溪	Dan Daxi
天津泰达足球俱乐部	Tianjin TEDA Football Club
朗尼 杰金斯	Lonnie Jenkins
沖坤陵園	Chongkun Cemetery
羅伯 蕭恩 萊納德	Rob Sean Leonard
弗拉基米爾一世 斯維亞托斯拉維奇	Vladimir I Sviatoslavich
.zm	.zm
銀河帝國 星球大戰	Galactic Empire Star Wars
婆媳誰怕誰	Who is afraid of mother-in-law and daughter-in-law
徐克	Tsui Hark
泰山区 泰安市	Taishan District Tai'an City
代代木站	Yoyogi Station
维森特足球俱乐部	Vicente Football Club
明康陵	Ming Kangling
朴元淳	Park Yuanchun
羅美薇	Luo Meiwei
烈火雄心 電視劇	Fire Ambition TV Series
基库尤语	Kikuyu
漢普郡	Hampshire
新西兰总督	Governor General of New Zealand
罗德岛	Rhode Island
仁川联足球俱乐部	Incheon United Football Club
福斯廣播公司	Fox Broadcasting Corporation
雷克雅維克	Reykjavik
中華民國政府	Government of the Republic of China
印第安納州眾議院	Indiana House of Representatives
皇家沙勒罗瓦体育俱乐部	Royal Charleroi Sports Club
莫德斯托 加利福尼亞州	Modesto, California
郊區	suburbs
昆山市	Kunshan
陳可怡	Chen Keyi
后晋	Later Jin
瑪布亞科技學院	Mabuya Institute of Technology
喬許 辛格	Josh Singer
梅田直哉	Umeda Naoya
葉小文	Ye Xiaowen
社会民主党 匈牙利	Social Democrats Hungary
丁巍	Ding Wei
kristín ingólfsdóttir	kristín ingólfsdóttir
德黑蘭縣	Tehran County
赵乐秦	Zhao Leqin
蒲島郁夫	Kamashima Ikuo
臺中清泉崗機場	Taichung Qingquangang Airport
中华人民共和国国务院	national assembly of the PRC
摩爾多瓦列伊	Moldovan Leu
埃吉迪奥 托萨托	Egidio Tosato
利奥波德二世 神圣罗马帝国	Leopold II Holy Roman Empire
谷城县	Gucheng County
赫塔費足球俱樂部	getafe football club
柳京守戰車廠	Ryukyung Shou Tank Factory
grindavíkurvöllur	grindavíkurvöllur
林布字母	Limbu Alphabet
溫頓郡政府	Winton County Government
菲利普 桑德斯	Philip Sanders
丹佛國際機場	Denver International Airport
李安度艾美達	Andrew Lee Amelida
希娜 拉巴尼 哈尔	Hina Rabbani Hal
萬葉假名	Manyo Kana
金宗景	Jin Zongjing
達爾文市	Darwin
普雷尼 尚贝西	Preni Chambécy
宾索万	Bin Sovan
司南马	Sinanma
大維齊爾	Grand Vizier
囧探查過界	囧Exploration crossed the border
奧古斯塔公主 薩克森 哥達	Princess Augusta of Saxony Gotha
納瓦拉	Navarra
金啟電	Jin Qidian
弘化	Honghua
簧風琴	reed organ
米高 肯恩	Michael Kean
特韋爾加	Tverga
太空梭固體助推器	space shuttle solid booster
任天堂情报开发本部	Nintendo Intelligence Development Headquarters
皮埃尔 德利涅	Pierre Deligne
玛丽亚 洛斯 雷梅迪奥斯 埃斯卡拉达	Maria Los Remedios Escalada
卡莱尔联足球俱乐部	Carlisle United Football Club
最強者足球俱樂部	strongest football club
罗布 帕尔多	Rob Pardo
埃德蒙德 胡塞尔	Edmund Husserl
李錦鴻	Li Jinhong
上原力也	The original force also
圭亞那君主	Monarch of Guyana
意大利王国	Kingdom of Italy
none 通古斯語族	none Tungusic
普拉特河	Platt River
广东外语外貿大學	Guangdong University of Foreign Studies
荷兰中央银行	Dutch Central Bank
柏森斯	Parsons
埃托利亞同盟	Aetolian League
万代南梦宫控股	Bandai Namco Holdings
伊拉克第納爾	Iraqi Dinar
羅德西亞元	Rhodesian dollar
治承	Zhicheng
上戶彩	Ueto Aya
火神運載火箭	Vulcan launch vehicle
非常規戰爭	unconventional warfare
马勒伯	Malebo
皇象水泥体育场	Emperor Elephant Cement Stadium
鬼同你ot	ghost with you
拉美士	Latin America
德米特里 日洛巴	Dmitry Zhiloba
镜像	mirror
謝爾比縣 阿拉巴馬州	Shelby County Alabama
苏霍伊航空集团	Sukhoi Air Group
中世朝鲜语	Medieval Korean
莫娜 辛普森 作家	mona simpson writer
湯姆 克里斯滕森	Tom Christensen
低音曼陀林	Bass Mandolin
教宗狄约尼削	Pope Dionysius
三爺里	Sanyeli
乍得 利比亚冲突	Chad Libya conflict
展望理论	Prospect Theory
美国远征军	American Expeditionary Force
奧里奧爾 羅塞爾	Oriol Roselle
基輔	Kyiv
格拉茨ak足球俱乐部	Grazak Football Club
圣彼得堡民航国立大学	Saint Petersburg Civil Aviation University
jesús padilla	jesús padilla
赵佑辰	Zhao Youchen
吳百納	Barber Wu
地區地名查詢系統	Regional place name query system
紀皇女	Princess Ji
.kr	.kr
瓦西里 果戈里	Vasily Gogol
伏見博英	Hiroshi Fushimi
公共意志	public will
卓耀國	Zhuo Yaoguo
朝鮮英祖	Joseon Youngjo
木管乐器	woodwind
向象賢	Xiangxian
櫻號列車	Sakura train
曼努埃尔 维托里诺 佩雷拉	Manuel Vitorino Pereira
扬子江快运	Yangtze River Express
迪欧斯捷尔vtk	Diostier vtk
卡洛 費利切	Carlo Felice
穆尼尔 比尔塞勒	Munir Bill Seiler
黃倫碩	Huang Lunshuo
維希法國	Vichy France
奧雷利歐 阿斯圖里亞斯	Aurelio Asturias
玛哈 哇集拉隆功	Maha Vajiralongkorn
潮汕地区	Chaoshan area
暴風雨 池上永一	Storm Eiichi Ikegami
好汉两个半	two and a half heroes
毛里裘斯總統	President of Mauritius
波斯尼亞和黑塞哥維那國家足球隊	bosnia and herzegovina national football team
河野敏鎌	Kono Toshika
巴罗足球俱乐部	Barrow Football Club
葛迪遜公園球場	Goodison Park
吉爾吉斯獨立日	Kyrgyz Independence Day
none 路易 科斯居尔	none Louis Kosgur
約瑟夫 坎胡博	Joseph Canhuber
長島海灣	Long Island Sound
立窝尼亚人	Livonian
約翰 甘迺迪國際機場	John Kennedy International Airport
金諪恩	Kim Hyun Eun
艾薇兒 拉維尼	Avril Lavigne
細路祥 電影	Hi Luxiang Movies
山額夫	Shanefu
烏古斯語支	Ogurus
香港一千元紙幣	One thousand dollar banknotes in Hong Kong
意大利 西羅曼語支	Italian Western Romance
蔚山現代	Ulsan Hyundai
琉球足球會	Ryukyu Football Association
感謝 生物股長單曲	Thanks to the biology chief single
于仁泰	Yu Rentai
第二次布匿战争	Second Punic War
阿納托利 蒂莫斯楚克	Anatoly Timothy Schuk
阿瑞斯足球俱乐部	Ares Football Club
稻垣祥	Inagaki Sho
森柏奧哥利亞足球會	Semper Ogolia Football Club
西突厥语支	West Turkic branch
沈烽	Shen Feng
阿睦尔撒纳	amursana
麥浚龍	Mai Junlong
馬英九	Ma Ying-jeou
祖巴	Zuba
雅爾 華斯卓姆	Jarl Wasstrom
東南斯拉夫亞語支	Southeast Slavic
淡马锡控股	Temasek Holdings
丁昂敏烏	Din Aung Min U
選舉君主制	electoral monarchy
少年楊家將	Young Yang Jiajiang
周浩鼎	Zhou Haoding
迪克西	Dixie
五月太阳	sun in may
克羅地亞足球乙級聯賽	Croatian Football League Two
巴勒斯坦阿拉伯起義	Palestinian Arab uprising
中天娛樂台	Zhongtian Entertainment Station
溫亞 莫里斯	Winya Morris
哈亞林	Hayalin
凱渥模特兒經紀公司	Kaiwo Modeling Agency
美迪 賓拿迪亞	Medie Pinnadia
盧業聲	Lu Yesheng
德川色許姬	Tokugawa color Xu Ji
密克罗尼西亚的爱国者	Patriots of Micronesia
梁栢堅 填詞人	Leung Pak Kin Lyricist
罗曼 英伽登	Roman Ingarden
朝鲜人民军	Korean People's Army
李建明	Li Jianming
中国共產党第十四届中央委员会	The 14th Central Committee of the Communist Party of China
game 歌手	game singer
皮亚琴察	piacenza
额亦都	Eidu
哈薩克國家橄欖球隊	Kazakh national football team
斯普利特主教座堂	Split Cathedral
西澳大利亚州	Western Australia
德尔塔 运载火箭	delta launch vehicle
政治委員	political commissar
沃尔特 赫德尔斯顿	Walter Huddleston
舞蹈流行音樂	dance pop
全美大学体育协会	NCAA
譚翠珊	Tan Cuishan
凡尔赛	Versailles
李小满	Li Xiaoman
安迪亞斯 比蘭特	Andias Bilant
卡美哈梅哈五世	Kamehameha V
沃尔特 惠特曼	Walt Whitman
五學院聯盟	Five College Alliance
坂井達彌	Tatsuya Sakai
格奧爾基 米哈伊洛維奇	Georgi Mikhailovich
康熙帝	Emperor Kangxi
蘇珊 朗格	Susan Lange
宋堯讃	Song Yaosan
a頻道	a channel
土耳其陆军	Turkish Army
梁思順	Liang Sishun
門戶樂團	Portal Orchestra
卡尔梅克共和国	Republic of Kalmykia
大衛 勞埃德 約翰斯頓	David Lloyd Johnston
骯髒現實主義	dirty realism
國家語言	national language
聖籠町	Selangor Town
北美洲语言	North American languages
中国统一	Unification of China
弗雷德 汤普森	Fred Thompson
滚石乐队	the rolling stones
行政中心	government centre
马克维尔高级中学	markville high school
埃德加 赖斯 巴勒斯	Edgar Rice Burroughs
伍立光	Wu Liguang
陳雅賢	Chen Yaxian
磐城市	Iwaki City
翁啟惠	Weng Qihui
家得寶中心球場	Home Depot Center
蜜雪兒 菲佛	Michelle Pfeiffer
神游科技	Shenyou Technology
帕萨迪纳市立学院	Pasadena City College
一美和成	Yimei and Cheng
日本国旗	Japanese flag
印度國大党	Indian National Congress
赫尔曼 黑塞	Hermann Hesse
第五届全国人民代表大会	Fifth National People's Congress
失戀陣線聯盟	Lovelorn Front Alliance
黃麗芬	Huang Lifen
none 中華民國憲法	none Constitution of the Republic of China
.pf	.pf
青年小說	Youth Fiction
西蒙 凯尔	Simon Kyle
水杉	Metasequoia
聊城市	Liaocheng
李莫愁	Li Mochou
艾歷 希斯達	Alec Hisdar
何直軒	He Zhixuan
獨立競技俱樂部	Indie Athletic Club
金山隼樹	Golden Mountain Falcon Tree
濱海阿雷尼斯	arenes-sur-mer
李安 路斯	Ang Lee Loos
塞米拉米丝 阿利雅	Semiramis Alia
赵一德	Zhao Yide
柏斯頓	Perston
皇家穹顶宫	Royal Dome
日本語系	Japanese Language Department
乔伟光	Qiao Weiguang
阳光流行	Sunshine Pop
盧坎	Lucan
迪士尼探險	Disney Adventure
策妄阿拉布坦	Arabtan
夜明前的琉璃色	The color of glass before dawn
讀賣電視台	Yomiuri TV
阿图瓦伯爵列表	List of Counts of Artois
哈里斯 舍費洛維奇	Harris Shefelovich
卡塔尼亚足球俱乐部	Catania Football Club
巴基斯坦行政區劃	Administrative divisions of Pakistan
比哈奇	Bihaci
伊朗航空工业局	Iranian Aviation Industry Authority
火炬	torch
雷达	radar
卡爾希體育場	Karshi Stadium
貞愛親王妃利子女王	Concubine Lizi Queen of Zhenai
吉列爾莫 奧喬亞	Guillermo Ochoa
程宏	Cheng Hong
毛岸紅	Mao Anhong
none 谢罗尼莫维迟 乔德基维迟	none Sheroni Movich Joad Kiwitsch
亚历山大 蒙巴顿 第一代卡里斯布鲁克侯爵	Alexander Mountbatten, 1st Marquess of Carisbrook
奥斯瓦尔德 柯蒂斯	Oswald Curtis
天德重寶	Tiande Heavy Treasure
中国共产党第十六届中央委员会	The 16th Central Committee of the Communist Party of China
柏林联盟足球俱乐部	Union Berlin Football Club
中立議員	neutral MP
兩貫道	two lanes
地方话	local dialect
阿梅迪奥 茨沃尼米尔 奥斯塔公爵	Amadeo Zvonimir Duke of Aosta
亞杜拉 薩哈比	Adullah Sahabi
尤利西斯號	Ulysses
聖帕特里克節	St. Patrick's Day
提姆巴兰	Timbaland
新莊區	Xinzhuang District
殖民地国务大臣	minister of state for colonies
jámison olave	jámison olave
民主黨代表	Democratic Representative
安托万 罗兰 德朱西厄	Antoine Roland de Jussieux
奧爾德姆足球俱樂部	oldham football club
阿里格尔穆斯林大学	Aligarh Muslim University
卡累利阿共和国国歌	National Anthem of the Republic of Karelia
naghsh jahan体育场	naghsh jahan stadium
新村猛雄	Shinmura Makoto
巴里体育俱乐部	Barrie Sports Club
荃加福祿壽探案	The Detective Case of Fu Lu Shou in Tsuen Jia
杨辉三角形	Yang Hui triangle
.jo	.jo
奧利弗 博扎尼奇	Oliver Bozanic
蘭德 保羅	Rand Paul
蒂拉斯波尔	tiraspol
攻殼機動隊 arise	Ghost in the Shell arise
下哈特	lower hutt
密歇根州行政區劃	Administrative divisions of Michigan
奥斯坎 翁布里亚语支	Oscan Umbrian
越南社会主义共和国主席	President of the Socialist Republic of Vietnam
赫拉克洛納斯	Heraklonas
none 年亞洲足協盃	none AFC Cup
新時代電視	new age tv
伊朗伊斯兰共和国军队	Army of the Islamic Republic of Iran
坎達兒 珍娜	Kandal Jenna
斯塔夫罗波尔	Stavropol
约普 登厄伊尔	Yop Den Oyle
瓜達拉哈拉竞技俱乐部	Atlético de Guadalajara
希姆基	Khimki
法國高等科學研究所	French Institute of Higher Science
菲尔 内维尔	Phil Neville
德文港 塔斯馬尼亞州	Devonport Tasmania
马赛普罗旺斯机场	Marseille Provence Airport
高建 韩国	Gao Jian South Korea
韋家雄	Wei Jiaxiong
莫拉達巴德	moradabad
帕薩爾加德	Pasargade
蒙特费拉的康拉德	Conrad of Montferrat
艾伦 图灵	Alan Turing
和田圭市	Hotan Kei City
下索布語	Lower Sorbian
周刚	Gang Zhou
松平政隆	Matsudaira Masataka
克里斯蒂娜 施洛德	Christina Schroeder
约翰 列侬	John Lennon
大区委員會 法國	Regional Council France
曼彻斯特维多利亚大学	Victoria University of Manchester
瑞寶章	Ruibao Chapter
阜阳市	Fuyang City
米科拉斯 布罗凯维丘斯	Mykolas Brocavicius
巨輪	giant ship
全国人民代表大会常务委员会秘书长	Secretary General of the Standing Committee of the National People's Congress
泰国众议院	House of Representatives of Thailand
阿克伦 俄亥俄州	Akron Ohio
秋元才加	Akimoto Caika
奥斯丁 张伯伦	Austin Chamberlain
马尔代夫副总统	Vice President of Maldives
韦恩县 密歇根州	Wayne County Michigan
大谷尊由	Otani Junyu
藤原威子	Fujiwara Weiko
關文深	Guan Wenshen
andrés mendoza footballer	andrés mendoza footballer
馬拉卡納體育場	Maracanã Stadium
音乐制作人	music producer
安德魯 斯科特	Andrew Scott
金澤市	Kanazawa City
蔣丙煌	Jiang Binghuang
愛丁堡市議會	Edinburgh City Council
厄瓜多爾甲組足球聯賽	Ecuadorian Football League
檀香山國際機場	Honolulu International Airport
不伦瑞克	Brunswick
格瓦拉主義	Guevaraism
芝加哥公牛	Chicago Bulls
神秘競速者	Mystery Racer
喬治 沃伊諾維奇	George Vojnovich
土库曼语	Turkmen
爱丽丝公主 阿斯隆伯爵夫人	Princess Alice, Countess of Athlone
欧洲保守派和改革主义者联盟	European Union of Conservatives and Reformists
雷明頓蘭德公司	remington rand co.
ríkharður jónsson	ríkharður jónsson
蒙藏委員會	Mongolian and Tibetan Committee
辛辛那提学院	Cincinnati College
吉姆 吉尔摩	Jim Gilmore
.sc	.sc
圣保罗州	Sao Paulo State
埃爾默 雅各布 施奈肯伯格	Elmer Jacob Schneckenberg
凯山 丰威汉	Kaishan Feng Weihan
克拉福德獎	Crafford Prize
津南区	Jinnan District
佐佐木翔	Sasaki Sho
.fj	.fj
草原馬里語	Prairie Mali
齋藤道三	Saito Dozo
阿爾巴尼亞王國	Kingdom of Albania
許恆賓	Xu Hengbin
米德尔斯堡足球俱乐部	middlesbrough football club
埃諾伯爵	Earl of Hainaut
法国工业和商业部	French Ministry of Industry and Commerce
宁波市	Ningbo
張光榮 足球運動員	Zhang Guangrong football player
黃秉怡	Huang Bingyi
亞塞拜然總統	President of Azerbaijan
八不沙	Babusha
史恩伊拉夫 文路利夫	Sean Erlough Wenluliffe
古斯塔夫六世 阿道夫	Gustav VI Adolf
塞蒂亚吉德	Setiajid
日心軌道	heliocentric orbit
浪漫民族主義	romantic nationalism
愛爾蘭 歲以下國家足球隊	Ireland under-year national football team
曼谷大皇宮	Grand Palace Bangkok
第一次延坪海战	The First Battle of Yanping
羽田雄一郎	Yuichiro Haneda
畢爾巴鄂競技俱樂部	Athletic Club Bilbao
行動應變及機動組	Action Response and Mobility Team
朝鲜半岛	Korean Peninsula
捷克足球協會	czech football association
中国医科大学	China Medical University
北安普敦郡	Northamptonshire
皮亚诺	Piano
玉树市	Yushu City
宗座梵蒂冈城国委员会	Pontifical Council of the Vatican City State
沙希爾星隊	shahir star team
林雅涵	Lin Yahan
南美洲女子足球錦標賽	South American Women's Soccer Championship
史蒂夫 乔布斯	Steve Jobs
楷书	Regular script
軍事同盟	military alliance
萱野長修	Xuanye Nagaosu
太閣	Tai Court
佐兰 米拉诺维奇	Zoran Milanovic
瑪格麗特 瓦盧瓦	Margaret Valois
索尼音乐娱乐公司	Sony Music Entertainment
郭舒贤	Guo Shuxian
莱茵能源体育场	Rheinland Energy Stadium
埃及王国	kingdom of egypt
菲律宾语言委员会	Philippine Language Council
克婁巴特拉 塞勒涅二世	Cleopatra Selene II
教师	teacher
利布爾訥聖瑟蘭足球會	Libourne Saint Serin Football Club
遊佐町	Yusa Town
美国常驻联合国代表列表	List of Permanent Representatives of the United States to the United Nations
波斯 阿拉伯字母系統	Persian Arabic alphabet
渡邊宙明	Watanabe Shumei
南野拓實	Takumi Minamino
天文学家	astronomer
bbc國會台	bbc parliament
安道尔杯	Andorra Cup
格罗塔列	Grottalie
巴塞盧什	Barcelos
康德 满洲国	Kant Manchukuo
sebastián cejas	sebastián cejas
都灵奥林匹克体育场	Torino Olympic Stadium
森美	Sammy
star wars 原力覺醒	star wars The Force Awakens
乔治 霍华德 第六代卡莱尔伯爵	George Howard 6th Earl of Carlisle
日本內閣	Japanese cabinet
