ロック (音楽)	rock (music)
i'm gonna scream+	i'm gonna scream+
エルクハート郡 (インディアナ州)	Elkhart County, Indiana
デイド郡 (ミズーリ州)	Dade County, Missouri
sound horizon	sound horizon
クリストフォロス (ギリシャ王子)	Christopher (Prince of Greece)
日産・スカイラインgt-r	nissan skyline gt-r
カーティス・ウィルバー (政治家)	Curtis Wilbur (politician)
ジス・ボーイ	This Boy
ニック・セスター	Nick Cester
フィーカル・マター	physical matter
ブリュースター・ケール	Brewster Kale
ランカスター郡 (ペンシルベニア州)	Lancaster County, Pennsylvania
炎と血 (ゲーム・オブ・スローンズ)	Fire and Blood (Game of Thrones)
ベルゲン	Bergen
オグルソープ郡 (ジョージア州)	Oglethorpe County, Georgia
マクマレン郡 (テキサス州)	McMullen County (Texas)
rusty nail	rusty nails
テイ・トウワ	Tei Towa
ヌエボ・レオン州	Nuevo Leon
イランの最高指導者	supreme leader of iran
サミュエル・カーティス	Samuel Curtis
ケント・コンラッド	Kent Conrad
ロックデール郡 (ジョージア州)	Rockdale County, Georgia
大野市	Ono City
ローレン・ベネット	Lauren Bennett
caブラガンチーノ	ca bragancino
ソユーズtm-19	soyuz tm-19
ジョン・ハワード (初代ノーフォーク公)	John Howard (1st Duke of Norfolk)
クレイボーン郡 (テネシー州)	Claiborne County, Tennessee
ハノイ・ロックス	Hanoi Rocks
ギニア	Guinea
キルギスの大統領	Kyrgyzstan president
デシェイ郡 (アーカンソー州)	Desha County, Arkansas
チコ (カリフォルニア州)	Chico (California)
メイコン郡 (ノースカロライナ州)	Macon County, North Carolina
アポロ14号	Apollo 14
ウラジーミル・アレクサンドロヴィチ	Vladimir Alexandrovich
伏見宮博恭王	Prince Fushiminomiya Hiroyasu
ロングビーチ (カリフォルニア州)	Long Beach (California)
モーション・シティ・サウンドトラック	motion city soundtrack
マダガスカル語	Malagasy
scala	scala
ヴォルガ川	volga river
戦場のヴァルキュリア	Valkyria Chronicles
コールドウェル郡 (ノースカロライナ州)	Caldwell County, North Carolina
ワシントン郡 (ノースカロライナ州)	Washington County (North Carolina)
綾瀬市	Ayase City
ufc live: cruz vs. johnson	ufc live: cruz vs. johnson
リチャード・エドモンド・リング	Richard Edmund Ring
コロラドカレッジ	colorado college
愛をからだに吹き込んで	Breathe love into your body
ビセンテ・フォックス・ケサーダ	Vicente Fox Quesada
ガーフィールド郡 (モンタナ州)	Garfield County, Montana
西川優大	Yudai Nishikawa
ジョン・コルトレーン	John Coltrane
マラウイ	Malawi
ルイス・マウントバッテン	Louis Mountbatten
ライオネル・ネイサン・ド・ロスチャイルド	Lionel Nathan de Rothschild
ブルターニュ	brittany
かに座	Cancer
キャンディス・ナイト	candace night
岩崎弥之助	Yanosuke Iwasaki
コスタリカ	Costa Rica
マニー・マーク	money mark
ワトフォード	Watford
ウップス!...アイ・ディド・イット・アゲイン (曲)	Oops!...I Did It Again (song)
a (シングル)	a (single)
ブリストル大学	Bristol University
ピトキン郡 (コロラド州)	Pitkin County, Colorado
touch me!	touch me!
シティ・オブ・バンクスタウン	City of Bankstown
ルーカス・パパデモス	Lucas Papademos
クイーン+アダム・ランバート	Queen + Adam Lambert
エリトリア	Eritrea
コミ・ペルミャク語	Komi-Permyak
キャスタミアの雨	castamere rain
black & white	black & white
you're my sunshine	you're my sunshine
ハンティ・マンシ自治管区・ユグラ	Khanty-Mansi Autonomous Okrug-Yugra
ufc 105	ufc 105
マッタ・アヴ・スヴェーリエ	Matta Av Sverier
ヴィクトリア・ルイーゼ・フォン・プロイセン	Victoria Luise of Prussia
heart station/stay gold	heart station/stay gold
オリヤー語	Oriya
ジェイムズ・スタインバーグ	James Steinberg
電撃g's magazine	Dengeki g's magazine
ナバーラ大学	University of Navarre
アンゴラ内戦	Angolan civil war
フェリックス・ジェルジンスキー	Felix Dzerzhinski
イン・ザ・クローゼット	In the Closet
ルーベン・ブロマールト	Ruben Blommert
トレント自治県	Autonomous county of Trento
アサシン クリード シンジケート	Assassin's Creed Syndicate
大浦兼武	Oura Kanetake
富士宮市	Fujinomiya City
イリノイ工科大学	Illinois Institute of Technology
淮海戦役	Huaihai campaign
孤独のメッセージ	lonely message
nhk教育テレビジョン	nhk educational television
レオポール・セダール・サンゴール	Leopold Sedar Senghor
グアルディアグレーレ	guardia grayle
ジョセフ・ハーバーシャム	Joseph Herbersham
カンファレンス・サウス	Conference South
チャールズ・エジソン	Charles Edison
伝説の少女	legendary girl
ソフト・パレード	soft parade
南オセチア	South Ossetia
カリム・マシモフ	Karim Massimov
ハウ・トゥ・ディスマントル・アン・アトミック・ボム	How To Dismantle An Atomic Bomb
ブルーノ・サンマルチノ	Bruno Sammartino
シュリー・シヴ・チャトラパティ・スポーツコンプレックス	Shree Shiv Chhatrapati Sports Complex
ゴーラ語	Gorah
not yet	not yet
大町市	Omachi City
未来戦隊タイムレンジャー	Mirai Sentai Timeranger
ヴィクトル・カルペンコ	Victor Karpenko
アポロ16号	Apollo 16
クリアウォーター郡 (アイダホ州)	Clearwater County (Idaho)
ビリー・グラハム	Billy Graham
グエン・フー・ト	Nguyen Phu Tho
ザ・ダークネス	The Darkness
ハカス共和国	Republic of Khakassia
marvelous	marvelous
glass skin	glass skin
ブルームフィールド・スタジアム	Bloomfield Stadium
ポルトガル第一共和政	Portuguese First Republic
スヴェルドロフスク州	Sverdlovsk Oblast
ボセル	Bothell
カーティス・メイフィールド	Curtis Mayfield
マディソン郡 (バージニア州)	Madison County, Virginia
ufc 185	ufc 185
コモロ	Comoros
アファル人	Afar people
マーダック	Marduk
エルンスト・アウグスト (ハノーファー王太子)	Ernst August (Crown Prince of Hanover)
フリーフォーム	free form
高野光司	Koji Takano
ブッカー・t・ジョーンズ	booker t jones
ロレイン郡 (オハイオ州)	Lorain County, Ohio
cherry girl/運命	cherry girl/destiny
スロベニア自由民主党	Liberal Democratic Party of Slovenia
イエン・サリ	Yen Sari
アイム・ユア・エンジェル	I'm Your Angel
バハマ	Bahamas
レフスキ・ソフィア	Levski Sophia
g∞ver	g∞ver
上海申キン足球倶楽部	Shanghai Shenkin Football Club
伝説のチャンピオン	legendary champion
ジョン・コーツ	John Coates
ayaka's history 2006-2009	ayaka's history 2006-2009
ハードマン郡 (テネシー州)	Hardman County, Tennessee
日本ビクター	japan victor
ギヴ・イン・トゥ・ミー	Give In To Me
マリナ (ケント公爵夫人)	Marina (Duchess of Kent)
モンテッラ	Montella
ビーゴ郡 (インディアナ州)	Vigo County, Indiana
バイシクル・レース	bicycle race
ジェイムズ・ロングストリート	James Longstreet
グリーンレイク郡 (ウィスコンシン州)	Green Lake County, Wisconsin
ハンド郡 (サウスダコタ州)	Hand County, South Dakota
アンブレイカブル (アルバム)	Unbreakable (album)
オンリー・ワン・ロード	only one road
ufc fight night: nelson vs. story	ufc fight night: nelson vs. story
原脩次郎	Shujiro Hara
ナイト・オン・ザ・タウン	night on the town
マーサー郡 (ノースダコタ州)	Mercer County, North Dakota
ロビン・トロワー	Robin Trower
サーストン郡 (ワシントン州)	Thurston County, Washington
ポルトゲーザ・デスポルトス	Portuguesa Desportos
i loved yesterday	i loved yesterday
野田聖子	Seiko Noda
ジェイク・シマブクロ	Jake Shimabukuro
フルトン郡 (アーカンソー州)	Fulton County, Arkansas
psycho-pass	psycho-pass
ワイアンドット郡 (カンザス州)	Wyandot County, Kansas
コリンティア県	Corinthia Governorate
サムター郡 (フロリダ州)	Sumter County, Florida
おせっかい (アルバム)	Messy (album)
アリゲイニー郡 (ニューヨーク州)	Allegheny County, New York
ポルト・アレグレ	Porto Alegre
the ultimate fighter 22 finale	the ultimate fighter 22 finale
タイ語	Thai
オックスナード (カリフォルニア州)	Oxnard (California)
ガブリエル・ガルシア＝マルケス	Gabriel Garcia Marquez
アナザー・パート・オブ・ミー	Another Part of Me
break it/get myself back	break it/get myself back
エスタディオ・モヌメンタル・イシドロ・ロメロ・カルボ	Estadio Monumental Isidro Romero Calvo
ウィットマン郡 (ワシントン州)	Whitman County, Washington
ポセイドンのめざめ	Awakening of Poseidon
スティーヴ・モーズ	Steve Morse
ジョーゼフ・ロートン・コリンズ	Joseph Lawton Collins
ミューズ (バンド)	muse (band)
玉樹チベット族自治州	Yushu Tibetan Autonomous Prefecture
アイス・エイジ4/パイレーツ大冒険	Ice Age 4/Pirates Adventure
ジョージ・ツワイク	George Zweig
ミラノ公国	Principality of Milan
ジェット (バンド)	jet (band)
植原悦二郎	Etsujiro Uehara
西尾寿造	Juzo Nishio
nascar	nascar
ディエゴ・ペレス	Diego Perez
マッタ・ルイーセ (ノルウェー王女)	Matta Louise (Princess of Norway)
ライアン・ハンター＝レイ	Ryan Hunter-Reay
ミシシッピ大学	University of Mississippi
あの娘におせっかい (曲)	Meddling with that girl (song)
カンボジア王国 (1954年-1970年)	Kingdom of Cambodia (1954-1970)
アントニオ・ロペス・デ・サンタ・アナ	Antonio Lopez de Santa Anna
クレイボーン・ペル	Claiborne Pell
ユダヤ系アメリカ人	Jewish American
マーク・ロモナコ	Mark Lomonaco
グレゴリウス7世 (ローマ教皇)	Gregory VII (Pope)
ヴィレムii	willem ii
ソユーズtma-07m	soyuz tma-07m
fcミッティラン	fc midtyllan
ワジム・バカーチン	Vadim Bakachin
マヒタラーティベートアドゥンラヤデートウィクロム	mahithalathibet adungraya date wickrom
カルペパー郡 (バージニア州)	Culpeper County, Virginia
ケマル・スタファ・スタジアム	Kemal Stafa Stadium
アイアン郡 (ユタ州)	Iron County, Utah
nhk総合テレビジョン	nhk general television
グリッグス郡 (ノースダコタ州)	Griggs County, North Dakota
モニカ (歌手)	Monica (singer)
キャット・パワー	cat power
イヴァン・ミュラー	Yvan Muller
パッツイー・ミンク	Patsy Mink
ソユーズt-2	Soyuz t-2
デニス・ロッドマン	Dennis Rodman
rté two	rté two
マーロン・ディカーソン (ニュージャージー州の政治家)	Marlon Dickerson (New Jersey politician)
マイケル・d・ヒギンズ	michael d. higgins
緒方竹虎	Ogata Taketora
ゾフィー・ドロテア・フォン・ハノーファー	Sophie Dorothea von Hannover
ヴォルフガング・ショイブレ	Wolfgang Scheuble
エディ郡 (ノースダコタ州)	Eddy County, North Dakota
山村泰弘	Yasuhiro Yamamura
マカッサル語	Makassar language
リンフィールドfc	linfield fc
アンヘル・マリア・ビジャール	Angel Maria Villar
シェイク・イット・オフ	shake it off
コロンビア革命軍	Colombian Revolutionary Army
ユトレヒト州	Utrecht province
和歌山県	Wakayama Prefecture
スペースx crs-2	space x crs-2
カラベラス郡 (カリフォルニア州)	Calaveras County, California
レベル42	level 42
ジョージ・バジャー	George Badger
オソン1世	Ohsung I
パノラ郡 (ミシシッピ州)	Panora County, Mississippi
セルビア王国 (近代)	Kingdom of Serbia (Modern)
コアウイラ州	Coahuila
iconiq	iconiq
ジョゼフィーヌ・ド・ボアルネ (スウェーデン王妃)	Josephine de Beauharnais (Queen of Sweden)
モアハウス郡 (ルイジアナ州)	Morehouse County, Louisiana
ソニア (ノルウェー王妃)	Sonia (Queen of Norway)
バスク社会党	basque socialist party
シェイク・ハリーファ国際スタジアム	Sheikh Khalifa International Stadium
デヴィッド・リンドレー	David Lindley
イフ・アイ・ワー・ア・ボーイ	If I Were A Boy
メアリー・トッド・リンカーン	Mary Todd Lincoln
矢井田瞳	Hitomi Yaida
杭州緑城足球倶楽部	Hangzhou Green City Football Club
マリヤ・ルイザ・ブルガルスカ	Maria Luisa Bulgalska
ルパート (カンバーランド公)	Rupert (Duke of Cumberland)
伊藤瑞子	Mizuko Ito
アル・クーパー	al cooper
ガニソン郡 (コロラド州)	Gunnison County, Colorado
season's call	season's call
パンパンガ州	Pampanga Province
バイロン・ドーガン	Byron Dogan
strikeforce: miami	strikeforce: miami
ジョン・y・ブラウン・ジュニア	John Y. Brown Jr.
松井一郎	Ichiro Matsui
ビリー・レイ・サイラス	billy ray cyrus
イタリア共産党	Italian Communist Party
アフマド・シャフィーク	Ahmad Shafiq
アバディーンfc	aberdeen fc
寂しき4番街	Lonely 4th Avenue
ジョン・ボルトン	John Bolton
アンリ・カルタン	Henri Cartan
スティーヴン・エンゾンジ	Stephen N'Zonzi
ポルトガルの大統領	president of portugal
revolution (karaのアルバム)	revolution (kara album)
ダイアー郡 (テネシー州)	Dyer County, Tennessee
寛仁親王妃信子	Nobuko, Princess Tomohito
ホラント王国	Kingdom of Holland
モンテミレット	monte millet
ディアロッジ郡 (モンタナ州)	Deer Lodge County, Montana
モクレン属	magnolia
ヤマハ発動機ジュビロ	Yamaha Motor Jubilo
カナダ保守党	Conservative Party of Canada
サード・ハリーリー	Saad Hariri
吉野信次	Shinji Yoshino
the elder scrolls v: skyrim	the elder scrolls v: skyrim
島田市	Shimada City
ジョグジャカルタ特別州	Special Region of Yogyakarta
シムテック・s941	Simtech s941
フィル・ウッズ	Phil Woods
アーリントン (テキサス州)	Arlington (Texas)
カス郡 (ミネソタ州)	Cass County, Minnesota
ロバート・ゴードン	Robert Gordon
live (superflyの曲)	live (superfly song)
ゴールデンバレー郡 (モンタナ州)	Golden Valley County, Montana
ラリマー郡 (コロラド州)	Larimer County, Colorado
secret of my heart	secret of my heart
マザー (ジョン・レノンの曲)	Mother (John Lennon song)
パイク郡 (アラバマ州)	Pike County, Alabama
チープ・トリックat武道館	Cheap Trick at Budokan
サルヴァドール	Salvador
バンクーバーオリンピック	vancouver olympics
曹操	Cao Cao
ホワイトパイン郡 (ネバダ州)	White Pine County, Nevada
アルフレズ・フィンボガソン	Alfred Finn Bogason
スタッド・ランス	stud lance
キトサップ郡 (ワシントン州)	Kitsap County, Washington
野田市	Noda City
ファム・ファタール (ブリトニー・スピアーズのアルバム)	Femme Fatale (Britney Spears album)
アール・ラウアー・バッツ	Earl Lauer Butts
i got a boy	i got a boy
川口市	Kawaguchi city
ジュディスベイスン郡 (モンタナ州)	Judith Basin County, Montana
大韓サッカー協会	Korea Football Association
ダグ・ハマーショルド	Doug Hammarskjold
エリク・h・エリクソン	Eric H. Erickson
ローマ県	Province of Rome
佐藤順一	Junichi Sato
ufc fight night: rockhold vs. bisping	ufc fight night: rockhold vs. bisping
タッチ・ミー (ドアーズの曲)	Touch Me (The Doors song)
キャント・バイ・ミー・ラヴ	Can't Buy Me Love
つづれおり	Tapestry
ソユーズtma-1	soyuz tma-1
never gonna give you up	never gonna give you up
サムタイム・イン・ニューヨーク・シティ	Sometime in New York City
ストーンウォール郡 (テキサス州)	Stonewall County (Texas)
カレン諸語	Karen languages
ノーフォーク・タイズ	Norfolk Tides
ヘンク・ティメル	Henk Timmer
ナポレオン2世	Napoleon II
サットン郡 (テキサス州)	Sutton County (Texas)
マルターノ	martano
リグレー・フィールド	wrigley field
チェット・アトキンス	Chet Atkins
キャメル (バンド)	camel (band)
ガボンの大統領	President of Gabon
everything (misiaの曲)	everything (misia song)
ブルックス郡 (テキサス州)	Brooks County (Texas)
スティーヴン・ディケーター	Stephen Decatur
橋本真也	Shinya Hashimoto
アルジェリア	Algeria
モノカシーの戦い	Battle of Monocacy
ウバ州	Uva province
uanlティグレス	uanl tigress
グライムズ郡 (テキサス州)	Grimes County (Texas)
プレイサー郡 (カリフォルニア州)	Placer County, California
コロンバス・クリッパーズ	columbus clippers
サンオーガスティン郡 (テキサス州)	San Augustine County (Texas)
ベラルーシ・プレミアリーグ	Belarusian Premier League
ゲオルギオス2世 (ギリシャ王)	Georgios II (King of Greece)
フランク・ジョージ・ウィズナー	Frank George Wisner
ポンデラ郡 (モンタナ州)	Pondera County, Montana
スフバータル・バトボルド	Sukhbaatar Batbold
スティール郡 (ノースダコタ州)	Steele County, North Dakota
ササク語	Sasak
神崎武法	Kanzaki Buho
ヤズー郡 (ミシシッピ州)	Yazoo County, Mississippi
ウィリアム・ギャラス	William Gallas
トゥイステッド・シスター	twisted sister
冷たい花	cold flower
サッダーム・フセイン	Saddam Hussein
ラブン郡 (ジョージア州)	Rabun County, Georgia
シルバーボウ郡 (モンタナ州)	Silverbow County, Montana
キャンベル郡 (テネシー州)	Campbell County, Tennessee
エスタディオ・ナシオナル (リスボン)	Estadio Nacional (Lisbon)
世継ぎたち	heirs
トスカーナ大公国	Grand Duchy of Tuscany
桜川市	Sakuragawa
リム・トンハイ	Lim Thong Hai
スティーヴン・スピルバーグ	Steven Spielberg
ジャクソン郡 (コロラド州)	Jackson County, Colorado
css (バンド)	css (band)
ナフト・テヘランfc	Naft Tehran fc
マーサー郡 (オハイオ州)	Mercer County, Ohio
アイ・アム・アザー	I Am Other
コペルティーノ	Copertino
ひとりぼっちのロンリー・ナイト	Lonely Night Alone
ルイス・カレーロ・ブランコ	Luis Carrero Blanco
ジム・カー	Jim Kerr
playstation (ゲーム機)	playstation
山形新幹線	Yamagata Shinkansen
アルノルド・リューテル	Arnold Ruther
never end (安室奈美恵の曲)	never end (Namie Amuro's song)
キラー・クイーン	killer queen
オークランド・アスレチックス	oakland athletics
マロウシュ・シェフチョビッチ	Maroush Shevchovic
ジェネシー郡 (ニューヨーク州)	Genesee County, New York
レネ・ローゼ	Rene Rose
首都圏電鉄1号線	Metro Line 1
ufc 190	ufc 190
グロリア・レコード	Gloria Records
トルラク方言	Torlac dialect
アンドレ・ヴェイユ	André Weil
over load	overload
尚州尚武fc	Sangju Sangmu FC
inspire (浜崎あゆみの曲)	inspire (Ayumi Hamasaki's song)
キャリー・フィッシャー	carrie fisher
ジェットコースターラブ	roller coaster love
ポール・ハミルトン (政治家)	Paul Hamilton (politician)
dive into yourself	dive into yourself
太田市	Ota City
チャリング・クープマンス	Charing Koopmans
ジョージ・w・ジョーンズ	George W. Jones
around the world (鈴木亜美のアルバム)	around the world (Ami Suzuki album)
トリッキー	tricky
ドラえもん のび太の宇宙英雄記	Doraemon: Nobita's Space Heroes
労働党 (リトアニア)	Labor Party (Lithuania)
ミドリ (バンド)	midori (band)
米倉利紀	Toshinori Yonekura
東京メトロ丸ノ内線	Tokyo Metro Marunouchi Line
らしんばん座	Libra
アサンプション郡 (ルイジアナ州)	Assumption County, Louisiana
ラッセル郡 (アラバマ州)	Russell County, Alabama
fcフローニンゲン	fc groningen
ヘンダーソン郡 (ノースカロライナ州)	Henderson County, North Carolina
グレンジャー郡 (テネシー州)	Granger County, Tennessee
アレン郡 (オハイオ州)	Allen County (Ohio)
チョクトー郡 (ミシシッピ州)	Choctaw County, Mississippi
カール6世 (神聖ローマ皇帝)	Charles VI (Holy Roman Emperor)
マルコ・アンドレッティ	Marco Andretti
テッド・テンプルマン	Ted Templeman
レノア郡 (ノースカロライナ州)	Lenoir County, North Carolina
保守党 (デンマーク)	Conservative Party (Denmark)
ダウン州	county down
ギド・ヴェスターヴェレ	Guido Westerwelle
dolce (鈴木亜美のアルバム)	dolce (Ami Suzuki album)
ソユーズtma-21	soyuz tma-21
レントン (ワシントン州)	Renton (Washington)
fcドニプロ・ドニプロペトロウシク	fc dnipro dnipropetrovsk
ジョン・コナリー	John Connelly
第二次コリンスの戦い	Second Battle of Corinth
ブリストル・シティfc	bristol city fc
ジェリー・ローリングス	Jerry Rawlings
ever after	ever after
ミゲル・デ・セルバンテス	Miguel de Cervantes
沖縄北部方言	Northern dialect of Okinawa
ナラシンハ・ラーオ	Narasimha Rao
キアロモンテ	Chiaromonte
ufc 115	ufc 115
def.diva	def. diva
民主運動党 (キプロス)	Democratic Movement Party (Cyprus)
ザ・ゴールデン・エイジ・オブ・グロテスク	The Golden Age of Grotesque
重慶力帆足球倶楽部	Chongqing Lifan Football Club
サンベルナルドfc	san bernardo fc
セネガルの大統領	president of senegal
ブラゾス郡 (テキサス州)	Brazos County (Texas)
シドニー大学	University of Sydney
柳田稔	Minoru Yanagida
ミゲル・デ・ラ・マドリ・ウルタード	Miguel de la Madrid Hurtado
エリック・メルヴィン	Eric Melvin
ゴンドマール (スペイン)	Gondomar (Spain)
2パック	2 packs
リッチー・デ・ラエト	richie de laet
rkcヴァールヴァイク	rkc waalwijk
mozilla firefox	mozilla firefox
ジョー・クラウン	Joe Crown
スクールクラフト郡 (ミシガン州)	Schoolcraft County, Michigan
テスト・ヴァレー	test valley
オチルツリー郡 (テキサス州)	Ochiltree County (Texas)
ザ・ローリング・ストーンズ (アルバム)	The Rolling Stones (album)
ロバート・ムガベ	Robert Mugabe
ヴァズゲン・アズロヤン	Vazgen Azroyan
pfcロコモティフ・タシュケント	pfc lokomotiv tashkent
ラリー・カールトン	Larry Carlton
アウル・シティー	Owl City
北アイルランド問題	Northern Ireland issue
名古屋大学	Nagoya University
usaネットワーク	usa network
ガズデン郡 (フロリダ州)	Gadsden County, Florida
アイ・ウォント・ユー・トゥ・ニード・ミー	I Want You To Need Me
動乱（獣を野に放て）	Upheaval (release the beast in the wild)
キング郡 (テキサス州)	King County (Texas)
the mad capsule markets	the mad capsule markets
マイク・ディーン	Mike Dean
カール・ピアソン	Karl Pearson
ランシング・ラグナッツ	Lansing Lugnut
3 (バンド)	3 (band)
レッドリバー郡 (ルイジアナ州)	Red River County, Louisiana
girls' generation ii 〜girls & peace〜	girls' generation ii ~girls & peace~
ウィリアム・j・フィールズ	William J. Fields
有馬頼寧	Arima Yoriyasu
デイビーズ郡 (インディアナ州)	Davies County, Indiana
テイク・イット・トゥ・ザ・リミット (イーグルスの曲)	Take It to the Limit (Eagles song)
スキッフル	skiffle
第二次フィッシャー砦の戦い	Second Battle of Fort Fisher
フューネラル・ミスト	Funeral Mist
ピウス11世 (ローマ教皇)	Pius XI (Pope)
マイケル・アマコスト	Michael Amacost
アウグスト・レオポルト・フォン・ザクセン＝コーブルク・ウント・ゴータ	August Leopold von Sachsen-Coburg und Gotha
星のように…	Like the stars…
金槿泰	Kim Geun Tae
船木勝一	Katsuichi Funaki
ターヤ・トゥルネン	Tarja Turunen
石岡市	Ishioka City
アフマド・ハサン・アル＝バクル	Ahmad Hassan al-Bakr
セブアノ語	Cebuano
イーグル郡 (コロラド州)	Eagle County, Colorado
アブ・ソウル	Ab Soul
サン・ドナート・ディ・レッチェ	San Donato di Lecce
トルーマン・ニューベリ	Truman Newbery
misia remix 1999	misia remix 1999
シャイン (テイク・ザットの曲)	Shine (Take That song)
ビル・ワイマン	Bill Wyman
time to destination	time to destination
カーディナル・オフィシャル	cardinal official
リーガ・デ・オンラ	Liga de Onra
天津泰達足球倶楽部	Tianjin TEDA Football Club
黒と白の館	black and white mansion
急進左派連合	radical left coalition
ニューヨーク州立大学バッファロー校	State University of New York at Buffalo
みなみのさんかく座	Southern Triangulum
バンワート郡 (オハイオ州)	Van Wert County, Ohio
ベトナムサッカー連盟	Vietnam Football Federation
j・b・ビッカースタッフ	j.b. bickerstaff
can't forget your love/perfect crime -single edit-	can't forget your love/perfect crime -single edit-
survivor (東方神起の曲)	survivor (Tohoshinki's song)
足立区	Adachi Ward
アサシン クリード	assassin's creed
サムター要塞の戦い	Battle of Fort Sumter
マホニング郡 (オハイオ州)	Mahoning County, Ohio
鈴木慶一	Keiichi Suzuki
caサン・ロレンソ	ca San Lorenzo
メキシコ麻薬戦争	Mexico drug war
カバラス郡 (ノースカロライナ州)	Cabarrus County, North Carolina
フローレンス郡 (サウスカロライナ州)	Florence County (South Carolina)
コビントン郡 (ミシシッピ州)	Covington County, Mississippi
近藤浩治	Koji Kondo
リッチランド郡 (モンタナ州)	Richland County, Montana
ローディ (バンド)	roady (band)
believe (misiaの曲)	believe (misia song)
ufc 89	ufc89
ロベルト・オーチー	Roberto Orci
movin' on without you	movin' on without you
カザルボルディーノ	Casalboldino
アラン・ホワイト	Alan White
パナマ侵攻	Invasion of Panama
ペルミ地方	Perm region
ufc 153	ufc 153
ザ・フラッド (テイク・ザットの曲)	The Flood (Take That song)
セッド・イット・オール	Said It All
ufc japan	ufc japan
ノーヴォリ	Novoli
クラーク郡 (ネバダ州)	Clark County, Nevada
サントス・ラグナ	Santos Laguna
リンチバーグ・ヒルキャッツ	Lynchburg Hillcats
fcウラル・スヴェルドロフスク・オブラスト	fc Ural Sverdlovsk Oblast
アンドリューズ郡 (テキサス州)	Andrews County (Texas)
アデル (歌手)	Adele (singer)
星獣戦隊ギンガマン	Star Beast Sentai Gingaman
ティアーズ・フォー・フィアーズ	Tears for Fears
ガールズ・ジャスト・ワナ・ハヴ・ファン	Girls Just Wanna Have Fun
フアン・フランシスコ・モレノ	Juan Francisco Moreno
統一航空機製造会社	United Aircraft Manufacturing Company
シャー・ジャハーン	Shah Jahan
心のプラカード	heart placard
アリ・コイヴネン	Ali Koivunen
セジウィック郡 (カンザス州)	Sedgwick County, Kansas
ダッカ	Dhaka
プレストン・レスリー	Preston Leslie
ウェルド郡 (コロラド州)	Weld County, Colorado
ルー・グラム	Lou Gram
ノーラン郡 (テキサス州)	Nolan County (Texas)
キリバス	Kiribati
メリクリ	Merikuri
ターリバーン	Taliban
マリ・ヴァルトマン	Mari Waldmann
ギブソン・j-200	gibson j-200
tierra (アルバム)	tierra (album)
指原莉乃	Rino Sashihara
ブランズ・ハッチ	Brands Hatch
ヒューズ郡 (サウスダコタ州)	Hughes County, South Dakota
ギリジャー・プラサード・コイララ	Gilliger Prasad Koirala
田上明	Akira Tagami
ベティ語	Betty
アナザー・サイド・オブ・ボブ・ディラン	Another Side of Bob Dylan
ジョージ・マクガヴァン	George McGovern
カーボン郡 (モンタナ州)	Carbon County, Montana
スメリアン・レコード	Sumerian Records
レナード・n・スターン・スクール	Leonard N. Stern School
黄金の冠	golden crown
在フィリピンアメリカ合衆国大使	Ambassador of the United States of America to the Philippines
apple a9	apple a9
アンディ・プリオール	Andy Priaulx
はと座	Pigeon
コッローポリ	Kollopoli
スヴァールバル諸島	Svalbard
アラゴン州	Aragon
バイ・バイ (マライア・キャリーの曲)	Bye Bye (Mariah Carey song)
北白川宮成久王	Kitashirakawanomiya Prince Naruhisa
ロバート・コールドウェル・ウッド	Robert Caldwell Wood
永遠の誓い	eternal oath
中原区	Nakahara Ward
マイ・ケミカル・ロマンス	my chemical romance
ゴットホルト・エフライム・レッシング	Gotthold Ephraim Lessing
サンマリノ・スタジアム	San Marino Stadium
ゲインズ郡 (テキサス州)	Gaines County, Texas
ピアノ・クインテット・スイート	piano quintet suite
gothic melting ice cream's darkness “nightmare”	gothic melting ice cream's darkness “nightmare”
公正ロシア	fair russia
カルルシュ1世 (ポルトガル王)	Charles I (King of Portugal)
花巻市	Hanamaki
大川市	Okawa City
誰かの願いが叶うころ	when someone's wish come true
宮原健斗	Kento Miyahara
コントログエッラ	controguella
ディエゴ・ペロッティ	Diego Perotti
スタテンアイランド鉄道	Staten Island Railroad
マービン・ミンスキー	Marvin Minsky
アルバセテ・バロンピエ	Albacete Balompié
油井亀美也	Kimiya Yui
サリバン郡 (インディアナ州)	Sullivan County, Indiana
井川村	Ikawa village
エッジコム郡 (ノースカロライナ州)	Edgecombe County, North Carolina
double (boaの曲)	double (boa song)
恋することのもどかしさ	The frustration of being in love
コブクロ	Kobukuro
クレイ郡 (ミネソタ州)	Clay County, Minnesota
ペー語	Pe language
ライアン・パーメーター	Ryan Palmer
ロシア連邦共産党	Communist Party of the Russian Federation
ベンジー郡 (ミシガン州)	Benji County, Michigan
国民議会 (ハンガリー)	National Assembly (Hungary)
day after tomorrow	day after tomorrow
the brilliant green (アルバム)	the brilliant green (album)
ポッター郡 (テキサス州)	Potter County (Texas)
パトリセ・トロボアダ	Patrice Troboada
カルンキオ	Calunkio
カスティリオーネ・メッセール・マリーノ	Castiglione Messer Marino
ジョージ・オーウェル	George Orwell
セルゲイ・レベジェフ	Sergei Lebedev
グレナダ	grenada
tell me (hideの曲)	tell me (hide song)
ハイランド郡 (オハイオ州)	Highland County (Ohio)
ハンフリー (猫)	Humphrey (cat)
さんかく座	Triangulum
大谷晋二郎	Shinjiro Ohtani
王の乱立	king's upheaval
ジェネシス (バンド)	genesis (band)
